ID,ParentID,Ubicacion,OlaID
100,0,Ecuador,84
298,0,Honduras,84
299,0,El Salvador,84
1097,0,Costa Rica,84
1098,0,Panamá,84
1099,0,Nicaragua,84
1100,298,01-SAN PEDRO SULA,84
1101,298,13-TELA,84
1102,298,22-LA ENTRADA,84
1103,298,43-LA GRANJA,84
1104,298,45-JUTICALPA,84
1105,298,19-SANTA BARBARA,84
1106,298,71-CHOLUTECA,84
1107,298,73-COMAYAGUELA,84
1108,298,04-EL PROGRESO,84
1109,298,15-SABA,84
1110,298,24-SANTA ROSA DE COPAN,84
1111,298,17-DANLI,84
1112,298,83-LA ESPERANZA,84
1113,298,31-LA CEIBA,84
1114,298,81-SIGUATEPEQUE,84
1115,298,51-PUERTO CORTES,84
1116,298,16-COMAYAGUA,84
1117,298,20-TALANGA,84
1118,1098,DIST. AGUADULCE,84
1119,1098,DIST. CHITRE,84
1120,1098,DIST. SANTIAGO,84
1121,1098,DIST. CHORRERA,84
1122,1098,DIST. COLON,84
1123,1098,DIST. DAVID,84
1124,1098,DIST. MEGA PANAMA,84
1125,1098,VILLA ZAITA,84
1126,1097,ALAJUELA,84
1127,1097,SAN JOSE,84
1128,1097,GUAPILES,84
1129,1097,LIMON,84
1130,1097,SAN CARLOS,84
1131,1097,PUNTARENAS,84
1132,1097,LIBERIA,84
1133,1097,NICOYA,84
1134,1097,SAN ISIDRO,84
1135,1097,CARTAGO,84
1136,1099,LEON,84
1137,1099,MASAYA,84
1138,1099,MANAGUA,84
1139,298,SIN ASIGNAR,84
1141,298,74-ZONA BELEN,84
1142,0,Republica Dominicana,84
1143,0,Guatemala ABVO,84
1144,0,EMBOCEN Guatemala,84
1192,1142,LA ROMANA,84
1193,1142,SAN FRANCISCO,84
1194,1142,SANTIAGO,84
1195,1142,SANTO DOMINGO,84
1196,1142,STO DGO ORIENTAL,84
1197,1144,CHIMALTENANGO,84
1198,1144,CHIQUIMULILLA,84
1199,1144,DIST. BARBERENA,84
1200,1144,GUASTATOYA,84
1201,1144,JALAPA,84
1202,1144,JUTIAPA,84
1203,1144,OFICINAS CENTRALES,84
1204,1144,ZONA 18,84
1205,1143,CHIQUIMULA,84
1206,1143,COBAN,84
1207,1143,ESCUINTLA,84
1208,1143,HUEHUETENANGO,84
1209,1143,LAS PALMAS,84
1210,1143,MORALES,84
1211,1143,PETEN,84
1212,1143,PUERTO BARRIOS,84
1213,1143,RETALHULEU,84
1214,1143,TIQUISATE,84
1215,1143,ZACAPA,84
1216,298,32-ROATAN,84
1217,298,82-PENA BLANCA,84
1218,298,98-TRUJILLO,84
1219,0,CAM-ELS-GT KOF,84
1224,1143,SAN MARCOS,84
1225,298,24-STA ROSA DE COPAN,84
1226,1142,CIEN FUEGO,84
1227,0,CAM,84
1228,0,CAM KOF,84
1229,0,LCBU,84
1230,0,GUATEMALA,84
1231,299,SAN SALVADOR,84
1232,299,LA LIBERTAD,84
1233,299,AHUACHAPAN,84
1234,299,SANTA ANA,84
1235,299,SONSONATE,84
1236,299,USULUTAN,84
1237,299,SAN MIGUEL,84
1238,299,MORAZAN,84
1239,299,LA UNION,84
1240,299,CABAÑAS,84
1241,299,CUSCATLAN,84
1242,299,LA PAZ,84
1243,299,CHALATENANGO,84
1244,299,Centro I,84
1245,299,Centro II,84
1246,299,Occidente,84
1247,299,Oriente,84
1248,299,Paracentral,84
1249,1143,ESQUIPULAS,84
1250,298,86-CUYAMEL,84
1251,298,72-SILCA,84
1252,298,84-YORO,84
1253,298,97-TROJES,84
1254,298,85-SABANAGRANDE,84
1255,298,77-EL PORVENIR,84
1256,298,76-PATUCA,84
1257,298,24-SANTA ROSA,84
1258,298,75-SAN FRANCISCO,84
1259,298,90-TEUPASENTI,84
1260,298,66-SAN ESTEBAN,84
1261,298,92-MORAZAN  YORO,84
1262,298,78-AGALTECA,84
1263,298,94-CENTRO SAN PEDRO SULA,84
1264,298,87-TAULABE,84
1265,298,96-NUEVA CAPITAL,84
1266,298,63-SAN LUCAS,84
1267,298,62-CENTRO COMAYAGUA,84
1268,298,65-LEMPIRA SUR,84
1269,298,95-COPAN RUINAS,84
1270,298,64-CULMI,84
1271,298,93-OCOTEPEQUE,84
1272,298,89-LA UNION LEMPIRA,84
1273,298,91-LAJAS,84
1274,298,88-LAS AMERICAS,84
1275,1143,MAZATENANGO,84
1276,1143,CENTRALES,84
1277,1142,OCOA,84
1278,1142,PUERTO PLATA,84
1279,1142,BONAO,84
1280,1142,NAGUA,84
1281,1142,VERON,84
1282,1142,SAN JUAN,84
1283,1142,BANI,84
1284,1142,MAO,84
1285,1142,BARAHONA,84
1286,1142,SAN CRISTOBAL,84
1287,1142,AZUA,84
1288,0,Guatemala Plan Mi Comedor,84
1289,1288,ESCUINTLA PMC,84
1290,1288,ZONA 18 PMC,84
1291,0,Puntos Altos Guatemala,84
1292,1291,GV QUETZALTENANGO PAL,84
1293,1291,GV SOLOLA PAL,84
1294,1143,SALAMA,84
1295,1143,FRAY,84
1296,1143,POPTUN,84
1297,1291,GV QUICHE PAL,84
1298,1097,RIO CLARO,84
1299,1099,JUIGALPA,84
1301,1099,RIVAS,84
1302,1099,JINOTEGA,84
1303,1099,ESTELI,84
1304,1099,MATAGALPA,84
1305,1099,BOACO,84
1306,1143,XELA,84
1307,1143,QUICHE,84
1308,1143,SOLOLA,84
