,Unnamed: 0,id_name,is_potentially_hazardous_asteroid,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,close_approach_date,epoch_date_close_approach,orbiting_body,relative_velocity.kilometers_per_second,relative_velocity.kilometers_per_hour,orbit_class_description
0,0,2154652-154652 (2004 EP20),False,483.6764882185,1081.533506775,1995-01-07 00:00:00.000000,1970-01-01 00:13:09.467580,earth,16.1428635186,58114.3086669449,  Near-Earth-asteroid-orbits-similar-to-that-of-2062-Aten  
1,1,3153509-(2003 HM),True,96.5061469579,215.7943048444,1995-01-07 00:00:00.000000,1970-01-01 00:13:09.491340,earth,12.3510438151,44463.7577343496,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
2,3,3837644-(2019 AY3),False,46.1907460282,103.2856480504,1995-01-07 00:00:00.000000,1970-01-01 00:13:09.513900,earth,22.4786152837,80923.0150213416,  Near-Earth-asteroid-orbits-similar-to-that-of-2062-Aten  
3,4,3843493-(2019 PY),False,22.1082810359,49.435619262,1995-01-07 00:00:00.000000,1970-01-01 00:13:09.446700,earth,4.9986912098,17995.2883553078, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
4,5,3765015-(2016 WR48),False,160.1603379786,358.1294030194,1995-01-08 00:00:00.000000,1970-01-01 00:13:09.569160,earth,7.4650893561,26874.3216818148, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
5,6,3824107-(2018 JB3),False,802.7031672829,1794.8988477988,1995-01-08 00:00:00.000000,1970-01-01 00:13:09.562440,earth,32.1607528615,115778.71030144,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
6,7,2446862-446862 (2001 VB76),True,231.5021222103,517.6544821978,1995-01-08 00:00:00.000000,1970-01-01 00:13:09.556380,earth,7.5907111593,27326.560173582, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
7,8,3623683-(2013 AG53),False,27.8326768072,62.2357573367,1995-01-05 00:00:00.000000,1970-01-01 00:13:09.285720,earth,5.4474225417,19610.7211502161, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
8,9,3645123-(2013 NX23),False,483.6764882185,1081.533506775,1995-01-05 00:00:00.000000,1970-01-01 00:13:09.345060,earth,21.6051988007,77778.7156823659, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
9,10,2416151-416151 (2002 RQ25),False,192.5550781879,430.566244241,1995-01-05 00:00:00.000000,1970-01-01 00:13:09.276480,earth,7.6363343327,27490.8035975483, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
10,11,3550117-(2010 VB),False,20.1629919443,45.0858206172,1995-01-05 00:00:00.000000,1970-01-01 00:13:09.316320,earth,7.7759841602,27993.542976657,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
11,12,3471692-(2009 UP1),False,291.4439045349,651.6883821679,1995-01-06 00:00:00.000000,1970-01-01 00:13:09.402360,earth,13.7631523886,49547.3485989409,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
12,13,3713272-(2015 EF7),False,35.0392641108,78.3501764334,1995-01-06 00:00:00.000000,1970-01-01 00:13:09.367860,earth,6.6616654938,23981.9957775161,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
13,14,2137062-137062 (1998 WM),False,1272.1987853936,2844.7229650327,1995-01-06 00:00:00.000000,1970-01-01 00:13:09.367620,earth,9.6048767738,34577.5563855991, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
14,15,3893486-(2019 WN2),False,8.4053340207,18.7948982439,1995-01-06 00:00:00.000000,1970-01-01 00:13:09.352860,earth,7.0205499158,25273.9796969348,  Near-Earth-asteroid-orbits-similar-to-that-of-2062-Aten  
15,16,3766463-(2017 AY13),True,133.2155666981,297.8790627982,1995-01-03 00:00:00.000000,1970-01-01 00:13:09.096660,earth,14.2350916869,51246.3300727039,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
16,17,3342323-(2006 SF6),True,278.3267680719,622.3575733667,1995-01-03 00:00:00.000000,1970-01-01 00:13:09.120000,earth,5.2486366908,18895.0920867914,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
17,19,2452807-452807 (2006 KV89),True,146.0679642714,326.6178974458,1995-01-03 00:00:00.000000,1970-01-01 00:13:09.103980,earth,5.2019174692,18726.9028892138,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
18,20,2481394-481394 (2006 SF6),True,278.3267680719,622.3575733667,1995-01-03 00:00:00.000000,1970-01-01 00:13:09.157020,earth,5.2487147466,18895.3730879092,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
19,21,2308041-308041 (2004 TN),False,441.1181999969,986.3702813054,1995-01-04 00:00:00.000000,1970-01-01 00:13:09.244380,earth,15.4530476495,55630.9715383354,  Near-Earth-asteroid-orbits-similar-to-that-of-2062-Aten  
20,22,3359282-(2006 WN3),False,291.4439045349,651.6883821679,1995-01-04 00:00:00.000000,1970-01-01 00:13:09.184320,earth,14.2722708044,51380.1748958573,  Near-Earth-asteroid-orbits-similar-to-that-of-2062-Aten  
21,23,3485631-(2010 AF40),False,26.58,59.4346868419,1995-01-04 00:00:00.000000,1970-01-01 00:13:09.194220,earth,25.3475444872,91251.1601539319,  Near-Earth-asteroid-orbits-similar-to-that-of-2062-Aten  
22,24,3825569-(2018 NF1),False,31.9561886721,71.4562101727,1995-01-04 00:00:00.000000,1970-01-01 00:13:09.234240,earth,9.81018732,35316.6743519151,  Near-Earth-asteroid-orbits-similar-to-that-of-2062-Aten  
23,26,2138947-138947 (2001 BA40),False,506.4714588346,1132.5046106177,1995-01-04 00:00:00.000000,1970-01-01 00:13:09.221760,earth,10.1550915818,36558.3296945282,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
24,27,3716433-(2015 HA1),False,152.9519353442,342.0109247198,1995-01-04 00:00:00.000000,1970-01-01 00:13:09.225180,earth,17.398716775,62635.3803901775,  Near-Earth-asteroid-orbits-similar-to-that-of-2062-Aten  
25,28,3766036-(2016 XR23),False,22.1082810359,49.435619262,1995-01-04 00:00:00.000000,1970-01-01 00:13:09.246000,earth,19.5043542583,70215.675330042,  Near-Earth-asteroid-orbits-similar-to-that-of-2062-Aten  
26,29,3843734-(2019 RA),False,21.113244479,47.2106498806,1995-01-04 00:00:00.000000,1970-01-01 00:13:09.178620,earth,5.4829884789,19738.7585239395,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
27,31,3792437-(2017 XR61),False,63.7609789875,142.5738833281,1995-01-01 00:00:00.000000,1970-01-01 00:13:08.968980,earth,16.5213860889,59476.989919936, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
28,32,3723955-(2015 NK3),False,146.0679642714,326.6178974458,1995-01-01 00:00:00.000000,1970-01-01 00:13:08.930700,earth,18.1139850263,65210.3460948409, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
29,33,3553279-(2010 XB24),True,116.0259082094,259.4418179074,1995-01-02 00:00:00.000000,1970-01-01 00:13:09.059520,earth,14.9782587738,53921.7315857621, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
30,34,3825428-(2018 MA5),False,14.6067964271,32.6617897446,1995-01-02 00:00:00.000000,1970-01-01 00:13:09.017280,earth,6.4021620104,23047.7832375179, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
31,35,3639467-(2013 LC1),False,44.1118199997,98.6370281305,1995-01-02 00:00:00.000000,1970-01-01 00:13:09.075420,earth,11.5802363188,41688.8507475223, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
32,36,3703059-(2014 YE15),False,5.8150703965,13.0028927004,1995-01-02 00:00:00.000000,1970-01-01 00:13:09.051600,earth,15.1128684067,54406.326264187,  Near-Earth-asteroid-orbits-similar-to-that-of-2062-Aten  
